"alleyne"
 "alphy"
 "annie"
 "arcy"
 "arnall"
 "ayres"
 "bartell"
 "boland"
 "browne"
 "byron"
 "casey"
 "cecil"
 "chandler"
 "charles"
 "connor"
 "conroy"
 "corley"
 "corleys"
 "cotter"
 "cranly"
 "crofton"
 "cunningham"
 "dante"
 "davin"
 "dean"
 "dedalus"
 "delacour"
 "dillon"
 "dixon"
 "dolan"
 "donnelly"
 "doran"
 "duffy"
 "eliza"
 "erin"
 "ernest"
 "farley"
 "farrington"
 "farringtons"
 "fitzpatrick"
 "fleming"
 "fogarty"
 "francis"
 "frank"
 "freddy"
 "gabriel"
 "gallaher"
 "gallahers"
 "gretta"
 "halloran"
 "harry"
 "healy"
 "henchy"
 "heron"
 "holohan"
 "hynes"
 "ignatius"
 "ivors"
 "jack"
 "james"
 "jane"
 "jimmy"
 "joe"
 "julia"
 "kate"
 "kathleen"
 "kearney"
 "kernan"
 "lawton"
 "lenehan"
 "leo"
 "lily"
 "lynch"
 "lyons"
 "maccann"
 "madden"
 "mahony"
 "malins"
 "maria"
 "mary"
 "mcoy"
 "michael"
 "moonan"
 "mooney"
 "morkan"
 "mr"
 "mrs"
 "oconnor"
 "ohalloran"
 "orourke"
 "parnell"
 "polly"
 "rivière"
 "roche"
 "rourke"
 "routh"
 "simon"
 "sinico"
 "stephen"
 "ségouin"
 "tate"
 "tierney"
 "tom"
 "tommy"
 "villona"
